word_count,sentence_count,avg_sentence_len,avg_word_len,long_word,stopwords_count,exc_count,que_count,comma_count,spelling_errors,unigrams_count,bigrams_count,trigrams_count,noun_count,adj_count,adv_count,verb_count,fw_count,syllable_count,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog,difficult_words,neg_sentiment,neu_sentiment,pos_sentiment,cohesion,score1,score2,score
377,32,11.78125,3.716180371,48,144,2,1,13,19,166,306,346,70,27,21,75,0,438,78.14,8.8,4.9,7.46,4.9,6.25,3.083333333,11.38161491,43,5.139,24.584,2.277,5.512345679,4,4,8
414,25,16.56,4.384057971,102,164,0,0,15,14,188,366,400,111,19,17,78,0,572,56.45,12.3,9.1,11.36,9.7,7.41,7,15.61647696,71,2.639,20.95,1.41,6.059620596,6,4,10
271,5,54.2,3.73800738,27,150,1,0,1,10,122,215,243,51,18,17,50,0,324,51.72,13.3,19.2,6,23.2,7.09,24.75,25.24121212,14,0.634,4.08,0.287,4.90530303,4,4,8
530,33,16.06060606,4.126415094,111,159,2,0,25,22,210,432,496,165,39,31,87,2,692,58.38,11.1,8.3,12.86,10.2,7.31,4.222222222,14.84149883,82,0.673,25.786,6.54,6.361305361,6,5,11
409,9,45.44444444,3.914425428,45,201,0,0,13,17,152,330,382,94,23,26,74,0,507,54.43,13.7,16.1,8.72,19.9,7.1,24,22.2306383,33,0.29,7.577,1.133,5.369680851,5,4,9
586,35,16.74285714,3.769624573,96,216,1,7,24,31,268,512,564,158,33,33,86,0,685,75.2,10.3,6,9.56,7.6,7.37,4.875,15.01704782,94,0.865,29.347,4.789,5.702040816,6,5,11
277,12,23.08333333,3.725631769,31,120,0,0,2,12,139,251,269,50,22,13,62,0,325,74.93,9.5,8.2,6.21,8.4,6.11,10.6,14.19212355,23,0.279,9.39,2.331,5.081081081,4,3,7
305,15,20.33333333,3.927868852,55,132,0,1,10,14,143,256,285,71,19,15,55,0,386,69.62,11.1,8.1,8.41,8.7,6.21,5.928571429,13.58772563,29,0,12.878,2.122,5.410714286,4,4,8
465,30,15.5,3.51827957,51,209,0,1,10,31,184,400,451,84,27,27,101,0,524,82.34,8.2,5.3,5.68,4.8,5.79,5.25,11.3826506,38,0.221,26.639,3.14,5.067146283,4,4,8
416,23,18.08695652,3.740384615,48,187,0,0,6,28,135,283,338,83,23,13,66,0,487,79.9,9.9,6.3,6.44,6.4,5.45,5.928571429,11.17350649,24,0,18.515,4.485,5.076726343,4,4,8
608,31,19.61290323,3.953947368,106,228,0,0,23,10,235,477,549,167,30,37,94,0,751,70.63,11.2,7.8,8.7,8.7,6.36,6.833333333,13.70588235,64,0.347,27.316,3.337,5.568014706,5,5,10
533,30,17.76666667,3.577861163,66,223,0,2,28,26,211,455,509,117,21,23,107,0,602,81.73,9.6,5.6,7.82,6.9,6.38,4.9375,13.04928571,57,1.146,25.307,3.546,5.435555556,5,5,10
145,4,36.25,3.765517241,14,63,0,0,4,3,83,131,142,34,14,10,16,0,171,64.58,11.7,12.2,9.01,15.3,7.08,12.125,19.44440945,15,0,3.427,0.573,5.472440945,2,2,4
197,5,39.4,3.852791878,28,97,0,0,2,5,102,176,191,51,11,10,34,0,252,51.25,14.3,15.2,7.79,16.7,7.35,11.5,21.44874317,22,0.45,4.061,0.489,5.256830601,3,3,6
350,27,12.96296296,4.157142857,61,145,0,2,6,14,153,297,328,78,24,21,55,0,450,76.52,10.3,5.5,8.97,6.7,6.17,4.111111111,11.63238095,39,0.148,22.398,4.454,5.721518987,3,3,6
257,12,21.41666667,3.79766537,35,125,0,0,5,24,106,198,225,50,16,10,55,0,311,76.96,10.1,7.4,7.31,8.3,6.42,8.7,14.43574468,27,0,10.725,1.275,5.280851064,3,3,6
272,6,45.33333333,3.709558824,34,118,0,0,2,17,111,205,225,75,15,6,61,0,309,63.4,10.1,14.7,7.79,18.9,6.96,16.66666667,21.74580645,20,0.109,5.433,0.458,5.181451613,3,3,6
554,26,21.30769231,3.653429603,76,203,6,1,29,51,257,485,537,140,35,20,111,0,641,69.92,9.5,8,8.47,8.6,7.14,7.083333333,15.8761945,78,3.334,20.948,1.718,5.464135021,4,5,9
392,25,15.68,4.096938776,67,156,0,0,20,31,176,354,382,90,27,19,68,0,500,74.39,10.7,6.3,9.91,8,6.98,5.714285714,14.24463768,58,2.152,20.72,2.127,5.823699422,5,5,10
295,15,19.66666667,4.250847458,64,114,0,0,12,23,155,281,290,70,20,13,53,0,395,62.38,12.1,8.9,11.13,10.5,7.42,7.166666667,16.33312741,48,1.012,13.148,0.84,5.984555985,4,4,8
210,9,23.33333333,4.652380952,51,80,0,0,9,6,70,137,157,62,19,6,31,0,304,49.96,12.5,11.6,13.11,13.9,6.84,8.9,15.92502618,26,0,7.314,1.686,6.091836735,3,3,6
499,24,20.79166667,3.891783567,97,205,0,0,21,22,191,420,475,113,39,26,91,0,624,69.62,11.3,8.1,8.7,8.9,6.83,5.428571429,15.15280899,64,0.801,20.559,2.64,5.505617978,5,6,11
449,26,17.26923077,3.959910913,61,191,0,2,5,22,183,383,426,104,26,28,75,0,558,71.85,10.3,7.3,8.41,7.8,6.11,5.5,12.74604423,43,0,22.578,3.422,5.45631068,5,4,9
412,21,19.61904762,3.752427184,58,176,0,1,19,13,192,365,397,82,30,23,86,0,482,79.5,9.4,6.4,8.06,8,6.72,4.875,14.50666667,51,1.095,16.651,3.254,5.444444444,4,5,9
617,45,13.71111111,3.846029173,109,227,4,6,22,35,269,551,598,150,27,35,106,0,750,76.42,9.6,5.5,9.27,6.8,6.86,4.35,13.41230769,87,0.959,38.367,5.674,5.729007634,5,5,10
394,25,15.76,3.829949239,81,151,3,3,19,25,159,319,363,85,26,28,79,0,479,74.39,10.5,6.3,9.62,7.8,6.71,4.444444444,13.56229607,50,0,20.823,4.177,5.710447761,4,4,8
452,26,17.38461538,3.809734513,63,194,0,0,4,22,195,379,426,103,39,22,83,0,538,81.12,9,5.8,7.89,7,6.44,8.7,13.36129032,52,1.72,22.169,2.109,5.40942928,5,4,9
409,20,20.45,3.995110024,73,167,1,1,19,16,184,338,380,105,29,11,67,0,516,69.72,11.1,8.1,9.23,9.3,7,7.25,15.57253406,57,0.707,15.258,4.035,5.592391304,4,4,8
576,36,16,3.600694444,75,243,0,3,26,34,245,519,567,112,20,42,106,0,643,82.24,9,5.4,6.72,5.8,6.23,6,12.51247525,60,0.47,30.758,4.772,5.26284585,5,5,10
574,34,16.88235294,3.557491289,83,199,3,4,30,35,247,501,554,123,43,39,96,0,660,72.97,10.3,6.9,8.34,7.5,7.17,6.357142857,15.11389831,83,0.247,25.909,7.844,5.541226216,4,6,10
503,30,16.76666667,3.811133201,85,222,3,0,11,28,213,433,478,108,26,31,82,0,627,73.07,10.1,6.8,7.24,6.5,6.58,4.5625,13.60291391,63,1.4,24.297,4.303,5.362030905,5,5,10
792,36,22,3.977272727,140,318,1,0,19,40,324,645,752,214,55,32,136,0,962,68.7,10.3,8.5,9.63,10.1,7.13,7.333333333,16.16915594,112,0.669,32.028,3.303,5.651428571,5,5,10
544,26,20.92307692,4.143382353,99,220,0,1,3,31,238,477,528,130,38,28,93,0,722,68.6,10.5,8.5,8.94,9.6,6.78,10.8,15.32268245,70,0.97,21.258,3.772,5.508806262,4,6,10
485,36,13.47222222,3.606185567,56,209,1,0,12,37,188,393,441,99,29,28,84,0,568,84.88,8.6,4.4,6.48,4.5,5.79,6.285714286,10.68226415,42,2.241,30.852,2.906,5.264150943,3,5,8
