word_count,sentence_count,avg_sentence_len,avg_word_len,spelling_errors,long_word,exc_count,que_count,stopwords_count,unigrams_count,bigrams_count,trigrams_count,noun_count,adj_count,adv_count,verb_count,fw_count,syllable_count,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,neg_sentiment,neu_sentiment,pos_sentiment,score1,score2,score
377,32,11.78125,3.716180371,19,48,2,1,144,166,306,346,70,27,21,75,0,438,78.14,8.8,4.9,7.46,4.9,6.25,43,3.083333333,11.38161491,5.139,24.584,2.277,4,4,8
414,25,16.56,4.384057971,14,102,0,0,164,188,366,400,111,19,17,78,0,572,56.45,12.3,9.1,11.36,9.7,7.41,71,7,15.61647696,2.639,20.95,1.41,6,4,10
271,5,54.2,3.73800738,10,27,1,0,150,122,215,243,51,18,17,50,0,324,51.72,13.3,19.2,6,23.2,7.09,14,24.75,25.24121212,0.634,4.08,0.287,4,4,8
530,33,16.06060606,4.126415094,22,111,2,0,159,210,432,496,165,39,31,87,2,692,58.38,11.1,8.3,12.86,10.2,7.31,82,4.222222222,14.84149883,0.673,25.786,6.54,6,5,11
409,9,45.44444444,3.914425428,17,45,0,0,201,152,330,382,94,23,26,74,0,507,54.43,13.7,16.1,8.72,19.9,7.1,33,24,22.2306383,0.29,7.577,1.133,5,4,9
586,35,16.74285714,3.769624573,31,96,1,7,216,268,512,564,158,33,33,86,0,685,75.2,10.3,6,9.56,7.6,7.37,94,4.875,15.01704782,0.865,29.347,4.789,6,5,11
277,12,23.08333333,3.725631769,12,31,0,0,120,139,251,269,50,22,13,62,0,325,74.93,9.5,8.2,6.21,8.4,6.11,23,10.6,14.19212355,0.279,9.39,2.331,4,3,7
305,15,20.33333333,3.927868852,14,55,0,1,132,143,256,285,71,19,15,55,0,386,69.62,11.1,8.1,8.41,8.7,6.21,29,5.928571429,13.58772563,0,12.878,2.122,4,4,8
465,30,15.5,3.51827957,31,51,0,1,209,184,400,451,84,27,27,101,0,524,82.34,8.2,5.3,5.68,4.8,5.79,38,5.25,11.3826506,0.221,26.639,3.14,4,4,8
416,23,18.08695652,3.740384615,28,48,0,0,187,135,283,338,83,23,13,66,0,487,79.9,9.9,6.3,6.44,6.4,5.45,24,5.928571429,11.17350649,0,18.515,4.485,4,4,8
608,31,19.61290323,3.953947368,10,106,0,0,228,235,477,549,167,30,37,94,0,751,70.63,11.2,7.8,8.7,8.7,6.36,64,6.833333333,13.70588235,0.347,27.316,3.337,5,5,10
533,30,17.76666667,3.577861163,26,66,0,2,223,211,455,509,117,21,23,107,0,602,81.73,9.6,5.6,7.82,6.9,6.38,57,4.9375,13.04928571,1.146,25.307,3.546,5,5,10
145,4,36.25,3.765517241,3,14,0,0,63,83,131,142,34,14,10,16,0,171,64.58,11.7,12.2,9.01,15.3,7.08,15,12.125,19.44440945,0,3.427,0.573,2,2,4
197,5,39.4,3.852791878,5,28,0,0,97,102,176,191,51,11,10,34,0,252,51.25,14.3,15.2,7.79,16.7,7.35,22,11.5,21.44874317,0.45,4.061,0.489,3,3,6
350,27,12.96296296,4.157142857,14,61,0,2,145,153,297,328,78,24,21,55,0,450,76.52,10.3,5.5,8.97,6.7,6.17,39,4.111111111,11.63238095,0.148,22.398,4.454,3,3,6
257,12,21.41666667,3.79766537,24,35,0,0,125,106,198,225,50,16,10,55,0,311,76.96,10.1,7.4,7.31,8.3,6.42,27,8.7,14.43574468,0,10.725,1.275,3,3,6
272,6,45.33333333,3.709558824,17,34,0,0,118,111,205,225,75,15,6,61,0,309,63.4,10.1,14.7,7.79,18.9,6.96,20,16.66666667,21.74580645,0.109,5.433,0.458,3,3,6
554,26,21.30769231,3.653429603,51,76,6,1,203,257,485,537,140,35,20,111,0,641,69.92,9.5,8,8.47,8.6,7.14,78,7.083333333,15.8761945,3.334,20.948,1.718,4,5,9
